Person ID,Food,Category,Energy_kcal,Quantity_g,Energy_Intake
1,"Café, pó, torrado",Miscelâneas,418.6186666666666,89.0,372.4
1,"Castanha-de-caju, torrada, salgada",Nozes e sementes,570.167626501619,92.5,527.1
1,Vatapá,Número do,254.89328572415508,14.4,36.6
1,"Coentro, folhas desidratadas",Número do,309.0707468044758,189.2,584.8
1,"Banana, da terra, crua",Frutas e derivados,128.02445217391306,225.0,288.0
2,"Pescada, filé, frito",Número do,154.270025,466.8,720.1
2,"Carne, bovina, picanha, sem gordura, grelhada",Número do,238.4681333333333,50.1,119.6
2,"Queijo, petit suisse, morango",Número do,121.105954,343.8,416.4
2,"Mostarda, folha, crua",Número do,18.107389052172486,1216.9,220.3
2,"Carne, bovina, coxão duro, sem gordura, cru",Número do,147.96633333333335,199.8,295.6
3,"Bife à cavalo, com contra filé",Alimentos preparados,291.2295092449586,59.1,172.0
3,"Chocolate, ao leite, com castanha do Pará",Número do,558.8763333333334,94.6,528.9
3,"Bebida láctea, pêssego",Leite e derivados,55.164833333333306,473.6,261.3
3,"Abóbora, cabotian, cozida","Verduras, hortaliças e derivados",48.04374250000001,277.7,133.4
3,Arroz carreteiro,Alimentos preparados,153.772,542.6,834.4
4,"Porco, rabo, salgado, cru",Número do,377.4152575,44.0,165.9
4,"Soja, queijo (tofu)",Número do,64.48509407389021,481.0,310.2
4,"Sardinha, inteira, crua",Número do,113.90036666666666,78.2,89.0
4,"Lingüiça, porco, grelhada",Número do,296.4896091666666,115.9,343.5
4,"Alho-poró, cru","Verduras, hortaliças e derivados",31.5079193532467,3320.8,1046.3
5,"Batata, inglesa, sauté",Número do,67.88793615063032,289.8,196.7
5,"Carne, bovina, língua, crua",Número do,215.24976666666663,80.4,173.0
5,Barreado,Alimentos preparados,164.9752340474129,323.1,533.1
5,Estrogonofe de frango,Alimentos preparados,156.80610301323728,143.9,225.6
5,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",Gorduras e óleos,596.1195169563294,79.6,474.6
6,"Abadejo, filé, congelado, cru",Pescados e frutos do mar,59.11303324858347,999.1,590.6
6,"Carne, bovina, língua, cozida",Número do,314.9016,147.4,464.1
6,"Ovo, de galinha, inteiro, frito",Ovos e derivados,240.1872240091165,164.5,395.2
6,"Batata, inglesa, crua","Verduras, hortaliças e derivados",64.3702260869565,236.2,152.1
6,"Farinha, de trigo",Número do,360.4729785507247,0.3,1.1
7,"Uva, Rubi, crua",Número do,49.06128999999997,653.8,320.7
7,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",Gorduras e óleos,594.4516933333332,42.4,252.2
7,"Corvina grande, cozida",Número do,100.07812455296516,263.2,263.4
7,"Presunto, com capa de gordura",Número do,127.84921266563737,603.4,771.5
7,"Salmão, sem pele, fresco, cru",Número do,169.78157991055645,240.5,408.3
8,"Frango, peito, com pele, cru",Número do,149.46526666666665,66.5,99.4
8,"Porco, pernil, cru",Número do,186.05575,303.5,564.7
8,"Ameixa, crua",Frutas e derivados,52.54248260869565,227.3,119.4
8,"Salsa, crua",Número do,33.424111594202884,56.6,18.9
8,"Nêspera, crua",Número do,42.539198868195214,2881.1,1225.6
9,"Almeirão, refogado","Verduras, hortaliças e derivados",65.08191082886853,232.0,151.0
